"","subject","mops_mat_abuse","mops_mat_indiff","mops_mat_control","mops_pat_abuse","mops_pat_indiff","mops_pat_control","apq_positive","apq_inconsistent","apq_poorsup","apq_involve","apq_punish","ELST1","ELSIT1"
"348",24042,0,0,1,0,0,0,14,5,8,10,3,-4.55317448312939,4.55317448312939
"350",23853,0,1,1,0,0,1,10,7,12,9,4,-1.14304816618529,1.14304816618529
"351",41152,0,0,6,0,0,0,10,6,6,8,3,-1.42644607017643,1.42644607017643
"352",42945,0,0,3,2,1,6,12,3,7,10,3,-0.946775655625728,0.946775655625728
"353",32524,3,6,7,6,8,6,6,8,6,5,4,11.9522149065218,-11.9522149065218
"354",32508,0,0,1,0,0,1,15,3,4,13,3,-6.6810761219026,6.6810761219026
"355",43729,0,0,2,0,0,2,11,7,4,11,3,-3.65745049887293,3.65745049887293
"356",11981,1,1,9,0,0,5,7,9,5,8,7,2.76808082378981,-2.76808082378981
"357",34942,5,10,5,14,17,1,3,6,13,6,3,21.4187610249761,-21.4187610249761
"358",11866,3,0,7,4,3,9,9,10,9,10,6,5.99393029934875,-5.99393029934875
"359",29504,0,0,0,0,0,0,14,5,7,13,3,-6.00514733941992,6.00514733941992
"360",27557,0,0,0,0,0,0,15,7,3,15,3,-7.60563971213118,7.60563971213118
"362",25353,0,0,2,0,0,1,10,3,6,8,3,-2.64020215360689,2.64020215360689
"363",26351,2,0,1,2,0,2,12,8,4,10,3,-2.74825248118026,2.74825248118026
"364",33001,6,5,7,3,8,4,6,13,10,6,4,11.837811306979,-11.837811306979
"365",27144,0,0,1,0,0,1,8,5,3,6,3,-1.98658098553817,1.98658098553817
"366",27136,4,1,8,0,0,2,14,11,6,10,5,-0.522613754820506,0.522613754820506
"367",27128,0,0,4,2,8,1,11,3,9,6,5,4.37974429920683,-4.37974429920683
"369",11494,0,0,8,3,15,5,10,9,7,8,3,10.647449461695,-10.647449461695
"370",41228,0,1,0,0,1,3,15,7,9,10,3,-3.1434606230514,3.1434606230514
"371",24141,0,0,1,3,0,4,15,5,5,10,3,-3.47391813542172,3.47391813542172
"372",18879,0,1,1,0,1,1,11,9,8,10,3,-1.9589038346297,1.9589038346297
"373",27102,0,3,4,1,1,1,10,7,5,10,4,-0.644548864236312,0.644548864236312
"374",16386,2,5,2,9,5,9,3,14,13,3,3,13.8965171170815,-13.8965171170815
"375",27094,0,1,2,0,10,2,8,9,12,11,6,5.66304522869856,-5.66304522869856
"376",34132,0,2,1,0,2,1,9,4,6,11,3,-1.74062266597497,1.74062266597497
"377",22970,0,1,3,0,1,2,14,8,6,9,4,-2.29153439872871,2.29153439872871
"379",40006,9,3,2,8,9,5,6,8,11,5,6,13.2710542087554,-13.2710542087554
"380",32623,0,0,3,0,0,2,11,3,7,9,3,-2.56448336534432,2.56448336534432
"381",32656,2,0,2,1,1,2,9,3,6,5,3,0.250091879007307,-0.250091879007307
"382",18739,4,1,4,0,0,2,9,5,6,9,8,0.0606643572918018,-0.0606643572918018
"383",33977,0,0,1,0,0,0,9,3,5,12,3,-4.31764538820822,4.31764538820822
"384",16568,0,0,2,0,0,2,9,8,6,6,3,-0.82465825260108,0.82465825260108
"385",32672,0,1,3,0,1,1,15,5,4,11,4,-4.29828029164062,4.29828029164062
"386",27037,1,0,2,2,1,8,11,5,6,11,7,-0.0250328308581085,0.0250328308581085
"387",32615,1,0,2,1,4,1,9,12,11,7,3,2.97144336986912,-2.97144336986912
"388",27029,0,0,2,0,0,1,13,8,7,11,3,-3.85865470414618,3.85865470414618
"389",35519,0,0,3,0,0,4,10,12,6,9,3,-0.887774726720313,0.887774726720313
"390",32763,0,2,9,0,0,3,6,7,11,8,3,3.25615019906158,-3.25615019906158
"391",27003,0,0,2,7,7,5,14,8,10,12,3,3.59557334633233,-3.59557334633233
"392",11064,0,0,3,0,0,5,10,4,6,11,3,-2.19525453285056,2.19525453285056
"393",21592,0,0,2,0,0,2,13,7,6,10,3,-3.61111236222541,3.61111236222541
"394",26997,0,0,3,0,0,2,11,7,9,9,3,-1.68369289723742,1.68369289723742
"395",27292,2,0,6,2,2,2,8,3,5,12,3,0.191999350168797,-0.191999350168797
"396",17004,2,0,4,0,0,1,13,6,4,12,3,-4.07628097965348,4.07628097965348
"397",44834,0,2,9,0,3,5,3,3,4,3,4,6.31384867334774,-6.31384867334774
"398",25577,0,0,2,0,0,2,14,4,8,12,3,-4.52306734651825,4.52306734651825
"399",26948,0,0,0,0,0,1,15,9,3,14,3,-6.80277072345682,6.80277072345682
"400",25395,0,0,5,1,1,2,10,6,7,6,3,0.575388085580065,-0.575388085580065
"401",18754,1,1,4,1,2,3,6,3,7,5,3,2.9542972923018,-2.9542972923018
"402",32862,0,4,3,0,2,1,11,5,10,8,3,0.568871550780211,-0.568871550780211
"403",43364,0,0,3,0,0,2,10,5,3,8,3,-2.50886950032573,2.50886950032573
"404",31856,1,0,5,0,0,0,11,11,4,9,3,-2.01945672532123,2.01945672532123
"405",23911,0,0,2,5,10,3,13,8,10,10,3,5.10932152531091,-5.10932152531091
"406",44792,0,1,1,0,18,0,13,7,4,12,4,5.29243729926513,-5.29243729926513
"407",40832,0,0,3,0,0,0,9,10,12,9,3,-0.51755241126355,0.51755241126355
"408",11452,0,0,3,0,0,2,12,9,8,10,3,-2.33224315472138,2.33224315472138
"410",32284,0,2,3,0,0,1,12,14,5,9,5,-1.57153059431119,1.57153059431119
"411",12252,7,0,8,0,0,2,9,8,9,9,3,1.94012385364207,-1.94012385364207
"412",35451,0,0,0,0,0,0,11,3,6,12,3,-5.08259032931573,5.08259032931573
"413",26559,2,1,2,1,5,0,9,8,10,10,3,2.12844929013476,-2.12844929013476
"414",32128,1,1,2,4,0,0,12,9,4,7,3,-1.13756129056266,1.13756129056266
"415",59238,0,0,3,0,0,2,12,6,7,11,3,-3.20791469074272,3.20791469074272
"416",35824,1,3,6,1,4,5,10,9,5,8,4,3.72848528668161,-3.72848528668161
"417",32961,0,0,0,0,0,0,15,9,4,12,3,-6.20420981027447,6.20420981027447
"418",27839,0,1,0,0,0,0,14,10,7,13,3,-5.16766101997051,5.16766101997051
"419",18721,0,0,1,0,0,0,12,7,3,12,4,-5.20943661174884,5.20943661174884
"420",14753,1,0,5,3,4,4,8,11,9,11,3,3.79930070434632,-3.79930070434632
"421",32987,0,0,1,0,0,0,15,3,6,11,3,-5.87198280006707,5.87198280006707
"422",23820,0,0,5,5,16,6,15,7,7,12,3,8.08491537683556,-8.08491537683556
"423",11429,0,0,2,15,5,6,9,8,4,7,3,7.56553401414685,-7.56553401414685
"425",48264,0,3,3,5,1,12,3,10,7,3,3,8.58018019730854,-8.58018019730854
"426",12427,1,0,4,0,0,4,12,8,9,8,6,-0.272074606094741,0.272074606094741
"427",26690,0,0,3,0,0,4,9,7,4,9,5,-1.31165022685387,1.31165022685387
"428",34736,0,3,5,2,3,5,4,9,5,3,3,6.59398078706579,-6.59398078706579
"429",33043,0,2,4,0,1,7,14,5,8,12,3,-1.48191237936657,1.48191237936657
"430",16741,0,2,6,4,1,3,12,10,5,11,3,0.42372273115195,-0.42372273115195
"431",34280,0,0,2,0,0,2,12,6,7,12,3,-3.80866535984457,3.80866535984457
"432",18366,1,0,5,0,0,4,13,8,14,8,4,0.489146836331787,-0.489146836331787
"433",13946,0,3,5,2,9,3,14,7,5,9,5,4.14436150124866,-4.14436150124866
"434",29645,5,6,8,15,16,9,9,7,8,10,8,19.2592040992739,-19.2592040992739
"435",35717,0,0,2,0,0,3,14,3,4,14,3,-5.86815689836027,5.86815689836027
"436",33456,0,0,0,0,0,0,13,8,4,10,3,-4.98337987451251,4.98337987451251
"437",21147,0,0,2,0,0,1,12,8,8,12,3,-3.62093139979745,3.62093139979745
"438",26666,0,0,2,1,1,2,15,3,3,12,3,-5.11250138705836,5.11250138705836
"439",25742,15,17,11,0,15,0,3,3,5,4,11,20.1716859517271,-20.1716859517271
"441",16154,0,0,2,0,0,2,8,4,5,8,3,-1.78807030562701,1.78807030562701
"442",33134,0,0,0,0,0,2,12,5,7,12,3,-4.4844083322129,4.4844083322129
"443",16139,0,2,2,3,1,2,8,10,6,10,4,0.733365985903382,-0.733365985903382
"444",26633,0,0,4,0,0,5,11,3,3,12,3,-3.32925806590719,3.32925806590719
"445",16782,0,0,0,0,0,0,11,11,10,4,3,-0.758250278959913,0.758250278959913
"447",22863,0,0,1,0,0,1,14,6,3,13,3,-6.19927850749208,6.19927850749208
"448",33183,2,0,5,0,0,1,15,12,7,12,6,-2.83329517402034,2.83329517402034
"449",26591,0,0,1,0,0,1,15,6,5,14,3,-6.44609436441676,6.44609436441676
"450",30809,0,0,1,0,0,1,13,9,11,11,3,-3.18199943666742,3.18199943666742
"451",30593,2,1,2,0,2,1,12,12,8,11,3,-1.02177027261998,1.02177027261998
"452",19000,0,0,0,0,0,0,7,3,4,3,3,-1.23040800335915,1.23040800335915
"453",33209,1,1,0,2,1,0,14,7,12,9,3,-1.70178681708368,1.70178681708368
"454",42754,0,0,6,0,0,3,13,10,10,9,3,-0.729559206901792,0.729559206901792
"455",27565,0,0,1,0,0,1,14,7,5,14,3,-5.98362716675333,5.98362716675333
"456",20339,0,1,1,0,1,1,10,8,5,10,3,-2.35789668832608,2.35789668832608
"457",38620,5,1,3,0,0,1,15,3,6,10,4,-3.35476275969077,3.35476275969077
"458",26500,0,0,6,0,0,3,15,7,3,14,3,-4.84487632183982,4.84487632183982
"459",28621,4,0,7,3,0,6,13,7,10,9,3,1.81851463036022,-1.81851463036022
"460",21949,0,0,1,0,0,2,14,6,4,10,3,-4.7750501570293,4.7750501570293
"461",40717,0,1,4,0,12,0,11,4,8,7,3,5.35694807656488,-5.35694807656488
"462",16311,0,0,0,0,0,0,14,4,3,13,3,-6.96220838673278,6.96220838673278
"463",15768,0,3,1,0,3,2,12,5,6,9,3,-0.93567118681997,0.93567118681997
"464",19786,0,1,3,1,1,7,7,9,7,6,3,2.9281137448826,-2.9281137448826
"466",18606,2,1,10,0,0,1,7,3,9,12,3,0.662065470245136,-0.662065470245136
"467",21121,1,0,3,0,0,3,12,10,5,10,4,-2.28240884339332,2.28240884339332
"469",18762,0,0,2,3,0,1,9,5,12,10,3,-0.392554607254584,0.392554607254584
"471",31294,0,1,1,0,0,1,15,5,4,10,3,-5.22734937275034,5.22734937275034
"472",39222,1,3,5,2,1,6,6,8,11,8,3,4.7468984110434,-4.7468984110434
"473",26393,0,0,0,0,0,0,15,6,7,11,3,-5.59706193314758,5.59706193314758
"474",26377,0,0,1,0,0,1,15,5,4,14,4,-6.65940288791499,6.65940288791499
"475",11544,0,0,3,0,0,3,11,4,3,11,3,-3.67971009178608,3.67971009178608
"476",31674,0,0,2,0,0,2,12,7,4,11,3,-4.00498628383623,4.00498628383623
"477",21386,3,2,6,2,6,0,10,9,13,6,3,6.32065282930255,-6.32065282930255
"479",18523,0,1,1,0,0,1,15,3,6,11,3,-5.356492270112,5.356492270112
"480",45195,0,1,1,0,0,0,12,9,6,11,6,-3.54049181946236,3.54049181946236
"481",47134,0,0,4,0,0,1,8,4,8,9,5,-0.944357087563172,0.944357087563172
"482",40600,0,0,4,0,0,3,14,3,4,9,3,-3.70562089235332,3.70562089235332
"483",26310,2,2,6,2,0,5,6,5,4,7,3,2.63887389138935,-2.63887389138935
"484",30189,0,0,4,0,3,0,13,8,3,13,3,-3.30398249307,3.30398249307
"485",23259,0,0,0,0,0,0,15,3,3,12,3,-7.10433069512847,7.10433069512847
"487",26245,0,0,2,0,0,0,15,3,3,11,3,-6.22317424619252,6.22317424619252
"488",12120,0,0,2,0,0,0,11,4,4,11,3,-4.50756728498601,4.50756728498601
"489",16964,0,0,0,0,0,2,14,3,6,12,3,-5.61987513619295,5.61987513619295
"490",31724,3,0,2,3,0,2,14,6,4,9,7,-2.07288337572382,2.07288337572382
"491",27490,0,0,2,0,0,2,14,8,5,12,3,-4.69493892167725,4.69493892167725
"492",43976,0,0,1,0,0,1,15,5,4,13,5,-6.22690270079215,6.22690270079215
"493",13342,0,0,0,0,0,0,13,9,5,12,3,-5.2986058316947,5.2986058316947
"494",11718,1,2,5,2,2,3,10,7,8,6,3,2.80655044595246,-2.80655044595246
"495",46268,0,0,2,5,12,1,13,5,7,11,3,4.4601568496789,-4.4601568496789
"496",32227,0,0,2,4,4,1,11,3,6,3,3,2.31676730932551,-2.31676730932551
"497",24018,0,0,1,0,0,0,11,8,8,11,3,-3.48611777940684,3.48611777940684
"498",26195,0,0,1,0,0,1,13,3,6,12,3,-5.24459484540189,5.24459484540189
"499",29256,2,7,8,4,9,7,7,6,12,8,5,12.2612950729764,-12.2612950729764
"500",28787,1,0,3,0,0,4,9,10,11,8,5,1.0288993138126,-1.0288993138126
"501",10330,1,1,2,7,4,5,14,11,6,4,3,4.39616853407423,-4.39616853407423
"502",23846,1,1,1,0,1,1,15,5,4,15,3,-6.05094315350887,6.05094315350887
"503",33589,1,0,2,0,0,1,12,10,7,13,3,-3.72026231959208,3.72026231959208
"504",39503,1,1,3,4,1,2,12,4,4,9,15,0.355130882363227,-0.355130882363227
"505",47696,0,2,3,0,2,3,11,4,4,10,6,-1.13381416269403,1.13381416269403
"506",35675,1,1,2,4,1,3,14,10,5,11,3,-1.45411766133373,1.45411766133373
"507",44313,0,0,4,1,0,5,8,10,6,8,3,0.780094048449251,-0.780094048449251
"508",25502,0,0,1,0,0,1,15,12,3,13,3,-5.85722581625456,5.85722581625456
"509",18085,0,0,0,0,0,2,11,5,4,12,3,-4.76846977320915,4.76846977320915
"510",29041,0,0,2,0,0,1,12,9,7,8,3,-2.4351528386795,2.4351528386795
"511",29132,0,0,0,1,4,2,9,5,10,9,3,0.805867455391589,-0.805867455391589
"512",34090,0,0,0,0,0,0,11,8,5,11,3,-4.39812078520049,4.39812078520049
"513",31310,1,1,1,1,0,2,12,3,7,7,3,-2.01838003523049,2.01838003523049
"515",26062,0,2,0,0,12,4,10,3,6,6,3,5.64068375342713,-5.64068375342713
"516",38240,0,0,8,0,0,5,14,8,4,11,7,-1.69608674861871,1.69608674861871
"518",39685,0,0,4,0,0,4,14,5,6,11,3,-3.44272175417585,3.44272175417585
"519",26021,0,1,4,2,1,3,11,6,4,8,3,-0.460101866222255,0.460101866222255
"520",10281,1,0,5,8,5,7,4,9,11,4,3,10.7037314335283,-10.7037314335283
"521",48124,9,2,7,0,0,0,9,7,11,4,3,3.99127899408982,-3.99127899408982
"522",33654,0,0,3,0,0,3,9,3,6,5,3,-0.545903372993569,0.545903372993569
"523",39750,0,0,4,0,0,1,14,8,8,11,3,-3.4348465207881,3.4348465207881
"524",32078,0,0,4,0,0,4,11,6,6,7,4,-0.89164813165973,0.89164813165973
"525",28886,1,1,5,1,0,4,12,5,7,10,9,-0.449674423153855,0.449674423153855
"526",27797,0,2,2,1,3,0,6,11,5,9,5,1.71441224962536,-1.71441224962536
"527",33670,0,3,1,1,4,1,10,5,10,5,4,2.66809879902835,-2.66809879902835
"528",23515,0,2,1,4,7,2,12,3,3,12,3,0.681785639625175,-0.681785639625175
"529",29900,0,0,0,0,0,0,15,3,5,7,3,-5.08154143148335,5.08154143148335
"530",44255,3,10,7,0,2,2,12,5,11,12,3,2.70679920461234,-2.70679920461234
"531",39875,0,0,6,7,12,9,12,7,3,7,3,9.31821486895795,-9.31821486895795
"533",47340,3,2,6,3,1,1,9,9,12,10,3,2.89595044581212,-2.89595044581212
"535",37192,0,0,1,0,0,4,12,10,3,12,3,-3.96615257547817,3.96615257547817
"536",35535,0,2,3,2,3,1,13,4,4,9,3,-1.07538599700654,1.07538599700654
"537",39354,0,1,2,0,0,2,13,7,4,12,3,-4.41003770211854,4.41003770211854
"538",25619,0,2,2,0,2,2,14,6,9,10,3,-1.76342959632346,1.76342959632346
"539",45187,2,0,4,0,11,1,10,7,8,8,6,5.88215111458161,-5.88215111458161
"540",26161,0,1,2,0,0,0,12,3,6,9,3,-3.64545063085885,3.64545063085885
"541",15040,1,0,4,0,0,3,14,5,3,8,3,-3.16426203361245,3.16426203361245
"542",41582,0,0,3,0,0,2,14,6,6,11,3,-4.11351866932249,4.11351866932249
"543",31914,0,0,3,0,0,1,14,3,3,10,3,-5.02222651812103,5.02222651812103
"544",13292,3,3,3,13,10,6,7,8,7,6,7,13.5188524857804,-13.5188524857804
"545",15289,0,0,2,0,0,1,10,9,4,11,3,-3.3327131625157,3.3327131625157
"546",33803,0,0,0,0,0,0,14,3,3,10,3,-6.11610513162967,6.11610513162967
"547",13078,8,9,5,1,1,7,7,3,3,3,3,6.63434433093868,-6.63434433093868
"548",33720,1,0,3,0,2,2,9,8,5,9,3,-0.361241770789006,0.361241770789006
"549",33811,2,0,4,1,0,1,11,4,3,9,3,-2.51132188844203,2.51132188844203
"552",41772,0,1,1,0,0,2,13,7,5,11,3,-4.15956618403171,4.15956618403171
"553",32003,3,0,10,7,7,0,9,9,7,7,4,8.11545672890246,-8.11545672890246
"554",35931,2,0,8,0,0,1,12,5,7,12,7,-1.64183507067401,1.64183507067401
"555",18226,0,0,4,3,0,8,10,8,6,10,4,0.783105169531094,-0.783105169531094
"556",33894,0,1,4,3,6,2,9,7,8,8,7,4.61947432023721,-4.61947432023721
"557",28704,0,0,2,0,0,1,13,6,7,12,3,-4.4088624188142,4.4088624188142
"558",23929,0,0,0,0,1,0,12,3,4,12,3,-5.27474381873121,5.27474381873121
"559",33902,0,1,3,0,1,1,9,9,5,7,3,-0.373583263191199,0.373583263191199
"560",35584,0,0,3,0,0,3,11,9,6,12,5,-2.56949009588342,2.56949009588342
"561",41202,0,1,3,0,1,3,12,5,9,9,4,-1.05699856693664,1.05699856693664
"564",15032,0,0,2,1,2,6,8,6,5,10,3,0.313890150506541,-0.313890150506541
"565",33928,0,0,0,4,2,2,12,7,6,7,4,-0.201311595423388,0.201311595423388
"566",41640,1,0,4,2,0,5,9,6,4,6,3,0.743389214175639,-0.743389214175639
"567",17798,0,0,0,0,0,0,15,5,9,12,4,-5.49911811995401,5.49911811995401
"568",17137,0,0,0,0,0,0,12,3,8,14,3,-5.64975107550817,5.64975107550817
"569",13607,0,0,3,3,3,7,7,7,5,4,3,4.5064370255412,-4.5064370255412
"570",37739,1,0,6,5,0,3,10,7,4,9,3,0.652983448369895,-0.652983448369895
"571",12948,0,0,2,0,0,1,9,9,6,9,3,-1.92342278171054,1.92342278171054
"573",40709,0,0,0,0,0,0,15,7,4,13,5,-6.53010692923231,6.53010692923231
"574",10983,0,0,6,0,0,3,15,4,4,12,3,-4.33844837275154,4.33844837275154
"575",23838,0,0,0,2,1,2,13,7,7,11,3,-3.00679311458389,3.00679311458389
"576",34025,0,1,4,0,1,1,10,5,8,9,3,-0.909531471696895,0.909531471696895
"577",26575,0,1,3,0,1,1,11,6,5,9,4,-1.94198355189861,1.94198355189861
"578",34033,0,0,2,1,2,2,11,3,3,8,3,-1.86453157727998,1.86453157727998
"579",34223,0,0,1,0,0,0,11,3,4,11,3,-4.90290447752025,4.90290447752025
"580",34553,0,0,0,0,0,0,12,3,4,11,3,-5.53084604231764,5.53084604231764
"582",41186,0,3,7,0,2,1,11,4,5,8,4,0.372227256056916,-0.372227256056916
"583",21527,1,1,4,0,2,1,14,10,6,12,3,-2.3289863675788,2.3289863675788
"584",24885,0,0,2,1,0,0,15,11,4,12,3,-5.06428733767095,5.06428733767095
"585",34660,0,0,5,0,0,3,15,7,10,11,3,-2.69052057329839,2.69052057329839
"586",17293,2,1,6,2,0,5,8,9,15,9,7,4.26448662438443,-4.26448662438443
"587",34116,0,2,8,1,4,3,6,8,4,7,3,4.59233039957489,-4.59233039957489
"588",21162,0,0,4,0,0,2,10,10,6,7,3,-0.701864541763661,0.701864541763661
"589",25486,0,0,1,0,0,0,9,5,5,9,5,-2.90243729929451,2.90243729929451
"590",34124,0,0,4,0,0,4,12,7,10,10,3,-1.35531283496851,1.35531283496851
"591",10207,0,0,2,1,0,0,9,7,8,10,3,-1.95597886554348,1.95597886554348
"592",12328,0,0,0,0,0,0,14,7,3,12,3,-6.29706925936463,6.29706925936463
"593",18168,0,0,2,0,0,2,15,7,7,15,3,-5.69737596983758,5.69737596983758
"594",25445,0,0,0,0,0,0,14,7,6,11,4,-5.23297184628224,5.23297184628224
"595",41822,1,0,4,2,0,3,13,6,3,11,4,-2.85217803082707,2.85217803082707
"597",22988,4,5,6,0,0,2,6,8,8,5,3,4.20186241884714,-4.20186241884714
"598",42457,0,4,1,2,5,1,14,6,12,11,3,0.96825171205803,-0.96825171205803
"599",38331,1,1,7,7,7,6,9,5,9,8,4,8.29066346117293,-8.29066346117293
"600",18598,0,2,2,0,2,3,12,3,6,7,3,-0.831053548647221,0.831053548647221
"601",40949,0,4,2,0,4,2,10,7,12,7,3,3.01282958759851,-3.01282958759851
"602",40147,3,0,5,0,0,0,10,6,6,10,3,-1.74249097036792,1.74249097036792
"603",34181,0,5,5,1,4,6,7,5,4,5,3,5.24594440540961,-5.24594440540961
"604",14548,0,1,4,0,0,5,8,3,4,6,3,0.108780289191124,-0.108780289191124
"605",47688,0,0,3,0,0,2,10,8,11,9,9,-0.127229095137073,0.127229095137073
"606",24869,0,0,1,0,0,3,10,4,9,11,4,-2.51763611671679,2.51763611671679
"607",31377,0,0,0,0,0,0,14,3,5,11,3,-6.01538520359105,6.01538520359105
"608",40261,0,0,3,0,0,2,11,6,6,12,7,-2.94263501227999,2.94263501227999
"609",32888,1,0,4,0,0,3,11,7,8,13,3,-2.44085425639513,2.44085425639513
"610",26807,2,4,10,0,2,5,9,8,6,7,9,5.1367370609089,-5.1367370609089
"611",24802,3,1,9,3,2,3,8,5,7,6,3,4.67263583820039,-4.67263583820039
"612",22061,0,2,4,1,3,1,9,4,9,8,3,1.61892176767936,-1.61892176767936
"613",27110,0,0,1,0,0,1,11,8,3,11,3,-4.28611854866641,4.28611854866641
"614",44545,2,1,3,4,16,8,13,9,13,7,3,12.1362279326305,-12.1362279326305
"615",25510,0,0,0,0,0,0,15,4,4,11,4,-6.34636668665231,6.34636668665231
"617",44339,2,2,1,0,0,0,12,7,8,8,3,-2.05852469191748,2.05852469191748
"618",26625,0,0,0,0,0,1,15,3,3,14,3,-7.49235919965763,7.49235919965763
"619",25247,0,0,1,0,1,0,9,4,4,8,3,-2.55541971423608,2.55541971423608
"620",35188,0,0,4,0,1,4,10,9,4,10,3,-1.11712577870655,1.11712577870655
"621",45641,0,0,0,0,1,1,10,5,5,9,3,-2.92558107294157,2.92558107294157
"622",48397,0,0,3,0,1,1,13,8,6,13,6,-3.51655810508131,3.51655810508131
"623",27201,0,0,3,0,0,5,9,9,8,7,3,0.429382689990784,-0.429382689990784
"624",25932,0,0,3,0,0,2,10,7,3,11,3,-3.24004134272871,3.24004134272871
"625",59147,0,1,1,2,0,1,11,5,9,9,3,-1.76570312529339,1.76570312529339
"626",31757,0,0,3,0,0,3,12,5,4,12,3,-4.02212694466381,4.02212694466381
"627",21691,0,0,1,0,0,1,12,5,6,11,7,-3.8982301543502,3.8982301543502
"628",25197,1,4,6,5,12,5,7,5,10,7,3,11.843617134372,-11.843617134372
"629",33290,5,6,8,5,8,4,6,9,11,5,3,12.8368553143712,-12.8368553143712
"631",43828,0,1,1,1,0,0,9,6,11,8,3,-0.816199797633934,0.816199797633934
"632",32490,6,2,8,0,5,0,7,6,3,4,7,5.8933717594381,-5.8933717594381
"633",14126,0,0,0,0,0,0,14,8,6,11,3,-5.2301957314372,5.2301957314372
"634",22830,0,0,0,0,0,0,13,6,5,13,3,-5.96374495906285,5.96374495906285
"635",25155,0,0,0,0,0,0,12,3,5,10,5,-4.77565814868653,4.77565814868653
"636",41921,1,1,3,2,0,5,12,5,9,8,4,0.0924014852857465,-0.0924014852857465
"637",26716,0,1,3,0,0,2,11,5,6,11,3,-2.923013471184,2.923013471184
"638",13243,0,0,0,0,0,0,6,6,4,8,3,-2.1398024266342,2.1398024266342
"639",28076,0,0,1,0,3,3,9,3,7,4,3,1.15350370382173,-1.15350370382173
"640",18911,1,3,3,0,0,4,11,9,6,11,7,-0.782002016326913,0.782002016326913
"641",21006,0,0,2,11,6,7,11,6,4,7,3,6.07271565554031,-6.07271565554031
"642",47886,1,0,3,0,0,1,6,6,5,6,3,0.00698192678915711,-0.00698192678915711
"644",25098,1,1,4,1,0,1,9,9,6,11,3,-1.18954010436802,1.18954010436802
"646",29959,2,2,3,0,1,3,12,7,6,6,6,0.392808657418334,-0.392808657418334
"647",35204,0,0,2,0,0,1,13,5,6,13,3,-5.05467112943527,5.05467112943527
"648",32151,0,0,0,0,0,0,13,7,3,11,3,-5.62918858513358,5.62918858513358
"649",24521,1,2,9,0,1,9,10,7,4,10,12,3.0550864104147,-3.0550864104147
"650",41020,1,4,3,0,1,4,8,7,5,9,3,0.851555060427582,-0.851555060427582
"651",28944,0,0,1,0,0,0,12,4,5,10,3,-4.60463155186248,4.60463155186248
"652",10223,1,2,4,2,1,2,8,3,4,10,5,0.0331836024103459,-0.0331836024103459
"653",25056,0,0,2,0,0,2,12,5,6,11,3,-3.81378429193013,3.81378429193013
"654",42762,0,0,2,0,0,1,12,5,5,12,5,-4.37301226814722,4.37301226814722
"655",42820,0,3,5,2,6,5,9,8,8,10,3,4.85989478919701,-4.85989478919701
"656",23366,1,2,7,7,7,7,9,9,11,8,9,10.2477209485104,-10.2477209485104
"657",27821,5,6,1,12,15,5,7,9,11,6,8,17.4994383473079,-17.4994383473079
"658",34462,0,3,1,0,4,0,7,10,5,8,3,1.55760184695327,-1.55760184695327
"659",34587,2,4,7,3,5,5,10,8,8,12,3,4.87147812144808,-4.87147812144808
"660",25007,0,0,7,0,0,2,14,3,8,13,7,-3.10769355789528,3.10769355789528
"661",24588,1,1,3,1,1,3,12,9,8,14,3,-1.97075342872203,1.97075342872203
"662",42424,0,0,5,0,0,2,12,3,6,4,3,-0.960015552953853,0.960015552953853
"663",36236,0,0,5,12,11,9,12,9,9,12,7,10.5475564363459,-10.5475564363459
"664",40618,0,2,2,0,5,2,14,8,4,10,3,-0.856887475626537,0.856887475626537
"665",29785,1,2,5,4,8,6,10,6,5,12,3,5.05311514590051,-5.05311514590051
"666",31922,0,0,1,0,0,1,14,7,3,11,3,-5.44365731625644,5.44365731625644
"667",26567,2,0,10,1,0,2,8,5,6,9,3,1.21291005811847,-1.21291005811847
"668",59220,1,0,0,0,0,1,9,4,4,8,3,-2.95792778019198,2.95792778019198
"669",35618,0,0,1,0,0,1,15,5,10,13,3,-5.18801884458323,5.18801884458323
"670",46664,0,0,1,0,0,1,13,6,5,11,3,-4.78998812668691,4.78998812668691
"671",11882,0,0,2,0,0,1,14,3,3,13,3,-6.26366696575838,6.26366696575838
"672",34512,1,1,4,2,3,1,9,6,7,8,3,1.71582216008562,-1.71582216008562
"673",37713,0,0,1,0,0,1,10,11,8,11,3,-2.5411264823368,2.5411264823368
"674",36301,2,3,8,0,1,4,10,5,4,9,3,1.05697145239533,-1.05697145239533
"676",44594,1,1,8,9,8,6,13,3,4,8,3,7.06118922255685,-7.06118922255685
"677",25163,1,0,0,6,0,2,13,7,8,7,3,-0.492652358847645,0.492652358847645
"678",11197,1,0,4,3,7,2,4,8,8,9,3,6.21841998669721,-6.21841998669721
"679",35162,0,0,5,0,3,2,15,3,4,14,3,-3.89779527926506,3.89779527926506
"681",43349,0,0,2,0,2,4,9,7,5,8,3,-0.132595078768849,0.132595078768849
"682",14225,0,0,0,0,0,0,15,5,6,10,3,-5.60218086523315,5.60218086523315
"683",33548,0,0,0,0,0,0,13,8,3,11,3,-5.51425717243345,5.51425717243345
"684",24877,3,1,1,1,1,3,9,6,8,7,3,0.812029458725588,-0.812029458725588
"685",26492,1,0,2,1,0,2,11,5,8,10,3,-2.17390716013163,2.17390716013163
