"","subject","mops_mat_abuse","mops_mat_indiff","mops_mat_control","mops_pat_abuse","mops_pat_indiff","mops_pat_control","apq_positive","apq_inconsistent","apq_poorsup","apq_involve","apq_punish","ELST1","ELSIT1"
"79",12534,12,12,11,12,12,11,4,7,10,3,8,24.6421296445388,-24.6421296445388
"80",28589,0,0,1,0,0,2,10,7,3,12,3,-4.12119779166466,4.12119779166466
"81",38406,0,0,2,0,0,1,14,9,4,13,5,-5.13923548519421,5.13923548519421
"82",29165,0,0,1,0,0,1,14,6,7,13,3,-5.35714887287935,5.35714887287935
"83",43885,0,1,4,1,12,0,12,6,9,8,5,5.70302131963252,-5.70302131963252
"84",12567,1,0,2,0,0,0,10,8,5,9,3,-2.64740010930745,2.64740010930745
"85",29447,2,2,8,1,1,5,8,11,7,10,5,3.31627453651737,-3.31627453651737
"87",46904,0,0,0,0,0,1,14,3,3,12,3,-6.50413363615883,6.50413363615883
"88",24059,0,0,3,0,0,0,13,5,7,9,4,-3.42285936002824,3.42285936002824
"89",32235,2,1,5,2,2,2,5,7,7,7,3,3.69954509561898,-3.69954509561898
"90",43968,4,2,8,9,12,3,7,3,11,5,3,13.9968500042367,-13.9968500042367
"92",25270,0,0,4,1,1,8,10,5,6,7,3,1.16514123916293,-1.16514123916293
"93",40642,0,0,2,3,5,0,9,10,10,9,6,3.04742271203735,-3.04742271203735
"95",20115,0,0,2,0,0,1,11,5,5,11,3,-3.92944218962636,3.92944218962636
"96",42242,3,11,6,4,5,6,3,7,7,5,4,11.6963262436417,-11.6963262436417
"97",21931,4,8,1,8,6,4,4,6,9,4,3,11.3423972553883,-11.3423972553883
"98",17350,0,0,1,0,0,2,14,3,3,14,3,-6.61175636085389,6.61175636085389
"99",31138,3,6,6,0,3,6,11,3,10,9,3,3.83034382857595,-3.83034382857595
"101",21402,0,0,3,0,0,3,15,3,3,14,3,-6.14581931214266,6.14581931214266
"103",30999,0,0,3,0,0,2,14,6,4,14,3,-5.49561815443211,5.49561815443211
"105",31013,0,0,3,0,0,0,7,3,6,6,3,-0.929160514353742,0.929160514353742
"106",41871,15,18,9,9,17,7,3,9,13,3,9,28.4083416185597,-28.4083416185597
"107",27177,1,1,2,2,0,2,9,10,7,10,4,-0.390478294018666,0.390478294018666
"108",47456,2,2,7,2,2,4,3,9,3,3,4,6.50484807488882,-6.50484807488882
"110",42655,2,1,9,0,2,8,8,5,10,7,3,4.99776672959269,-4.99776672959269
"112",26179,2,0,3,0,1,0,14,6,4,12,4,-4.26828140774793,4.26828140774793
"113",20594,2,0,9,4,0,2,9,7,10,10,4,2.49651562452657,-2.49651562452657
"115",32474,0,0,2,0,0,2,8,6,9,4,5,0.789612307167178,-0.789612307167178
"116",24232,2,3,6,1,1,5,12,10,10,11,3,1.6001594212262,-1.6001594212262
"117",21535,0,0,1,0,0,1,13,7,8,13,3,-4.68414926656273,4.68414926656273
"118",10967,0,2,6,1,5,2,11,4,5,9,4,1.83989803111028,-1.83989803111028
"119",16832,0,0,2,0,0,4,11,5,3,5,3,-1.6704538493072,1.6704538493072
"120",47373,2,1,1,1,0,3,9,14,9,9,5,0.74750332057431,-0.74750332057431
"121",17228,1,0,2,2,0,1,12,5,7,8,3,-1.9946987616839,1.9946987616839
"122",17483,0,0,0,2,0,0,11,3,3,10,3,-4.37500160166967,4.37500160166967
"123",17145,0,0,0,0,0,0,9,5,5,12,3,-4.36818834264205,4.36818834264205
"124",29140,0,6,4,0,0,4,7,8,11,4,3,4.2068747825002,-4.2068747825002
"125",43604,0,0,2,0,0,1,12,4,7,9,5,-3.10584419573774,3.10584419573774
"126",41715,0,0,2,0,0,0,8,3,4,8,3,-2.618856674993,2.618856674993
"127",16691,0,3,6,3,0,6,9,3,8,6,3,2.99024974701771,-2.99024974701771
"128",48256,1,0,7,0,0,4,11,8,6,11,7,-0.563798077536856,0.563798077536856
"130",40576,1,5,4,5,2,7,9,4,5,12,3,2.82209677789192,-2.82209677789192
"131",29108,0,1,3,0,0,2,10,4,4,11,3,-3.1114739162272,3.1114739162272
"132",25841,0,0,1,0,0,1,14,5,5,13,3,-5.89314510288585,5.89314510288585
"133",11312,0,1,3,0,1,5,8,7,6,10,3,0.0042325332471138,-0.0042325332471138
"134",29801,0,0,1,2,0,3,10,9,3,11,3,-2.6198326279202,2.6198326279202
"135",25684,0,0,1,0,0,1,10,3,5,9,3,-3.45148523136193,3.45148523136193
"136",31179,0,0,3,0,0,3,13,13,4,9,4,-2.37702146236768,2.37702146236768
"137",38919,0,0,2,1,0,3,9,6,4,10,3,-2.15505609083733,2.15505609083733
"138",18937,3,3,12,3,5,6,7,4,4,9,3,7.16680932868209,-7.16680932868209
"139",32433,1,0,2,0,0,1,12,4,3,11,3,-4.61129065187011,4.61129065187011
"142",59303,0,3,6,0,3,1,8,10,7,7,3,3.02971882888673,-3.02971882888673
"143",36327,0,0,0,0,0,0,14,5,5,15,3,-7.06690193526179,7.06690193526179
"144",31252,0,0,0,0,0,1,14,3,4,12,3,-6.29360122750565,6.29360122750565
"145",30551,3,2,12,3,5,12,9,10,9,10,5,9.37109237275395,-9.37109237275395
"146",12872,0,0,1,0,0,0,11,3,4,12,4,-5.11109406893291,5.11109406893291
"147",31286,2,0,3,0,1,0,9,6,10,11,3,-1.05921843959969,1.05921843959969
"148",33449,1,1,2,0,1,0,14,10,6,12,3,-3.71890631410752,3.71890631410752
"149",14449,0,0,4,0,0,3,11,10,7,8,3,-0.906551533335188,0.906551533335188
"150",30072,0,0,3,0,0,3,12,6,5,10,3,-3.05597334477499,3.05597334477499
"151",39164,0,0,0,0,0,0,9,4,7,9,3,-3.10102027023257,3.10102027023257
"152",33340,0,0,5,2,1,3,7,4,8,8,3,1.55988460672876,-1.55988460672876
"153",39123,0,0,1,0,1,2,10,6,7,10,3,-2.17686267836238,2.17686267836238
"154",28639,3,11,6,0,17,2,7,6,11,3,6,16.4081096080314,-16.4081096080314
"155",39958,0,0,3,0,0,3,15,3,3,8,3,-4.22374997653615,4.22374997653615
"156",18788,6,5,5,0,0,0,12,5,8,6,9,1.74207914643505,-1.74207914643505
"157",12146,0,0,3,0,0,4,8,6,8,8,3,-0.140881926420415,0.140881926420415
"158",30668,7,5,9,15,15,9,3,3,7,3,3,22.200295001682,-22.200295001682
"159",33829,0,0,0,0,0,0,11,7,6,13,3,-4.94320956778294,4.94320956778294
"161",14662,7,5,3,7,9,2,9,8,3,6,9,9.85577386566299,-9.85577386566299
"162",10249,0,0,1,0,0,0,15,5,3,12,3,-6.5940620898941,6.5940620898941
"163",35915,0,0,2,0,0,2,10,6,7,10,3,-2.47290401138247,2.47290401138247
"164",35337,0,0,0,0,0,0,15,5,7,14,3,-6.67302801365097,6.67302801365097
"165",24323,0,0,4,5,4,2,15,6,3,13,7,-0.952285598434377,0.952285598434377
"166",22608,0,0,2,0,0,0,11,8,6,10,3,-3.30643192761136,3.30643192761136
"167",23861,0,0,0,3,18,1,15,3,9,14,3,5.19462754624197,-5.19462754624197
"168",31328,2,0,4,5,1,6,9,10,11,8,5,4.33899874491485,-4.33899874491485
"169",10637,2,8,8,3,4,7,4,9,5,3,3,10.5837292601657,-10.5837292601657
"170",19539,2,4,9,4,14,7,9,9,9,9,3,13.1089186064715,-13.1089186064715
"172",29322,0,0,2,0,0,2,15,4,4,13,3,-6.03307765536203,6.03307765536203
"173",45823,1,1,5,1,1,5,9,12,9,11,4,1.76650464626067,-1.76650464626067
"174",10306,1,0,4,4,11,4,9,6,11,5,3,9.32421410647547,-9.32421410647547
"175",22038,0,0,0,0,0,1,12,3,6,11,3,-4.85711995100494,4.85711995100494
"176",30064,0,0,3,1,0,3,13,6,4,13,3,-4.22582811865967,4.22582811865967
"177",43208,5,7,7,3,5,1,6,7,8,5,14,10.0057056798804,-10.0057056798804
"179",21840,1,2,2,0,0,4,9,7,10,9,3,0.174169914144444,-0.174169914144444
"180",23192,0,1,1,0,4,2,15,8,11,14,3,-2.13175810572558,2.13175810572558
"181",28647,2,6,2,0,1,0,7,6,3,5,3,1.38076536121943,-1.38076536121943
"182",13755,0,0,1,0,0,0,12,3,3,8,3,-4.49993800333347,4.49993800333347
"183",46334,0,1,2,2,1,4,12,6,9,10,3,-0.703815672117001,0.703815672117001
"184",17541,0,0,1,0,0,1,13,4,4,11,3,-5.23038336074037,5.23038336074037
"185",31435,0,2,0,0,1,2,10,7,11,4,3,0.947520436620356,-0.947520436620356
"186",28456,0,0,2,0,0,1,14,5,8,14,3,-5.30148698635995,5.30148698635995
"187",24414,5,6,0,5,15,3,12,6,5,6,3,10.3625293026044,-10.3625293026044
"188",46946,0,1,3,0,0,0,12,6,8,13,5,-3.6562547569788,3.6562547569788
"190",22582,0,0,1,0,0,1,14,8,4,9,3,-4.47750371636762,4.47750371636762
"193",37176,1,2,6,15,16,9,9,11,11,3,3,19.6133019172655,-19.6133019172655
"194",15891,2,0,3,6,4,5,6,8,11,9,8,6.71338665095917,-6.71338665095917
"195",28522,0,0,1,2,5,0,11,9,7,8,3,0.960047631784397,-0.960047631784397
"196",23887,0,0,0,3,0,4,11,9,7,8,3,-0.842700528760225,0.842700528760225
"197",48447,2,0,7,0,11,0,14,6,11,10,6,4.95654007494828,-4.95654007494828
"198",17954,0,0,1,0,0,3,10,7,5,12,3,-3.44747170035196,3.44747170035196
"199",28480,3,5,7,3,18,3,6,7,12,4,3,17.0045813251224,-17.0045813251224
"200",26757,0,0,0,2,0,1,14,3,3,14,3,-6.44632723962423,6.44632723962423
"201",31419,1,0,2,3,0,6,10,5,7,9,3,-0.00741762345830677,0.00741762345830677
"202",59246,0,0,0,0,0,0,11,8,8,12,4,-3.9747131506536,3.9747131506536
"203",15875,0,0,0,0,0,1,13,8,4,13,3,-5.69175326830942,5.69175326830942
"204",31534,0,0,4,0,0,2,9,4,7,9,5,-1.24976400717331,1.24976400717331
"205",13409,0,0,2,0,0,2,10,7,7,10,3,-2.35797259868233,2.35797259868233
"206",22012,0,0,1,0,0,0,13,3,8,9,3,-4.11515663429861,4.11515663429861
"207",28373,0,0,2,0,0,1,13,7,7,10,3,-3.65324122757857,3.65324122757857
"208",45021,3,3,12,10,9,6,5,10,6,8,9,14.7163359326763,-14.7163359326763
"210",12773,3,1,7,0,0,1,8,7,9,5,3,2.37713577418038,-2.37713577418038
"211",34371,1,0,7,0,0,7,13,5,6,9,3,-0.653611476429704,0.653611476429704
"212",26641,2,3,4,0,1,9,9,10,5,10,3,2.01103507094004,-2.01103507094004
"213",29090,0,0,0,0,0,0,12,4,6,12,3,-5.31519470157889,5.31519470157889
"214",37077,0,0,3,0,0,3,12,6,9,7,3,-1.25280904235901,1.25280904235901
"216",42259,0,0,1,0,0,1,9,5,9,11,3,-2.67264676492113,2.67264676492113
